zero_tol,n_qubits,depth,circuit_variant,zero_fraction_ZZ_terms,zero_fraction_Z_terms,mean_abs_offdiag_obs,block_zz_obs,block_x_obs,block_z_obs,block_zz_x_obs,block_zz_z_obs,block_x_z_obs,block_zz_abs_obs,block_x_abs_obs,block_z_abs_obs,block_zz_x_abs_obs,block_zz_z_abs_obs,block_x_z_abs_obs,lam_max_ratio
1e-09,4,4,hva,0.1666666666666667,0.1666666666666667,0.3781818181818182,0.4000000000000001,0.26666666666666666,0.25555555555555554,-0.02592592592592594,0.037037037037037056,-0.019444444444444445,0.5259259259259259,0.5925925925925924,0.5074074074074074,0.29814814814814816,0.3796296296296296,0.28055555555555556,1.7748732434034333
1e-10,4,4,hva,0.1666666666666667,0.1666666666666667,0.3781818181818182,0.4000000000000001,0.26666666666666666,0.25555555555555554,-0.02592592592592594,0.037037037037037056,-0.019444444444444445,0.5259259259259259,0.5925925925925924,0.5074074074074074,0.29814814814814816,0.3796296296296296,0.28055555555555556,1.774500606419921
1e-12,4,4,hva,0.018518518518518514,0.030555555555555555,0.399040404040404,0.43425925925925923,0.26666666666666666,0.2921296296296296,-0.01851851851851852,0.031712962962962964,-0.021527777777777778,0.5657407407407408,0.5925925925925924,0.5273148148148149,0.2990740740740741,0.41643518518518513,0.30902777777777773,1.7558625097989011
1e-08,6,4,hva,0.1666666666666667,0.1666666666666667,0.39771241830065357,0.41888888888888887,0.3066666666666666,0.3266666666666667,-0.03407407407407407,0.014814814814814802,0.0037037037037037043,0.5122222222222221,0.591111111111111,0.5103703703703705,0.30074074074074075,0.402962962962963,0.31481481481481477,2.12651423769822
1e-09,6,4,hva,0.1666666666666667,0.1666666666666667,0.39771241830065357,0.41888888888888887,0.3066666666666666,0.3266666666666667,-0.03407407407407407,0.014814814814814802,0.0037037037037037043,0.5122222222222221,0.591111111111111,0.5103703703703705,0.30074074074074075,0.402962962962963,0.31481481481481477,2.1297987009501553
1e-10,6,4,hva,0.1666666666666667,0.1666666666666667,0.39771241830065357,0.41888888888888887,0.3066666666666666,0.3266666666666667,-0.03407407407407407,0.014814814814814802,0.0037037037037037043,0.5122222222222221,0.591111111111111,0.5103703703703705,0.30074074074074075,0.402962962962963,0.31481481481481477,2.1324161908678136
1e-12,6,4,hva,0.027222222222222228,0.03101851851851851,0.42606209150326796,0.4738888888888889,0.3066666666666666,0.37037037037037035,-0.04574074074074074,0.009629629629629637,-0.010648148148148151,0.5655555555555556,0.591111111111111,0.5492592592592591,0.32314814814814813,0.44944444444444454,0.3334876543209876,2.1578498035876006
1e-08,8,4,hva,0.1666666666666667,0.1666666666666667,0.42419850680720234,0.4867724867724867,0.39999999999999997,0.4119047619047619,-0.03333333333333334,0.008134920634920639,0.009027777777777782,0.5682539682539682,0.6317460317460318,0.5563492063492064,0.3087301587301587,0.42916666666666675,0.325,2.4741167358399174
1e-09,8,4,hva,0.1666666666666667,0.1666666666666667,0.42419850680720234,0.4867724867724867,0.39999999999999997,0.4119047619047619,-0.03333333333333334,0.008134920634920639,0.009027777777777782,0.5682539682539682,0.6317460317460318,0.5563492063492064,0.3087301587301587,0.42916666666666675,0.325,2.4744139355520973
1e-10,8,4,hva,0.1666666666666667,0.1666666666666667,0.42419850680720234,0.4867724867724867,0.39999999999999997,0.4119047619047619,-0.03333333333333334,0.008134920634920639,0.009027777777777782,0.5682539682539682,0.6317460317460318,0.5563492063492064,0.3087301587301587,0.42916666666666675,0.325,2.47416726476805
1e-12,8,4,hva,0.02738095238095238,0.03159722222222222,0.45600570926657885,0.5509259259259258,0.39999999999999997,0.4846230158730158,-0.04226190476190477,0.008184523809523786,-0.012499999999999999,0.6353174603174605,0.6317460317460318,0.6122023809523811,0.32539682539682535,0.47891865079365087,0.3461805555555556,2.528139208646351
1e-08,10,4,hva,0.1666666666666667,0.1666666666666667,0.444280240831965,0.5404320987654322,0.48246913580246914,0.47777777777777775,-0.03580246913580247,0.0054320987654320994,0.014222222222222218,0.6089506172839506,0.6760493827160494,0.5962962962962963,0.3120987654320988,0.4464197530864198,0.32933333333333337,2.7631837670492945
1e-09,10,4,hva,0.1666666666666667,0.1666666666666667,0.444280240831965,0.5404320987654322,0.48246913580246914,0.47777777777777775,-0.03580246913580247,0.0054320987654320994,0.014222222222222218,0.6089506172839506,0.6760493827160494,0.5962962962962963,0.3120987654320988,0.4464197530864198,0.32933333333333337,2.7626070833517113
